head,subV,linker,form
subrayar,enfrentar,que,2
descartar,evaluar,que,3
evaluar,convertir,para_que,3
considerar,permitir,que,3
gozar,considerar,pues,7
querer,esperar,aunque,3
impedir,imponer,que,3
impedir,establecer,pues,7
convocar,aplicar,si,6
agregar,retomar,que,3
explicar,conseguir,que,2
añadir,estudiar,0,2
permitir,leer,que,3
firmar,representar,0,7
firmar,significar,0,7
significar,crecer,que,2
considerar,suponer,que,2
suponer,tratar,ya_que,7
suponer,dar,0,7
proponer,afectar,que,7
proponer,sancionar,0,2
sancionar,respetar,si,6
confirmar,ser,que,2
anunciar,multar,0,2
decir,confirmar,que,2
observar,recibir,que,2
hacer,confirmar,0,2
faltar,equivocar,si,6
sostener,ser,que,7
ser,tomar,cuando,6
ser,reportar,aunque,6
señalar,ser,que,7
señalar,hablar,que,7
señalar,ser,que,7
añadir,presentar,que,2
afirmar,dar,0,3
decir,preocupar,que,7
decir,tomar_en_cuenta,que,3
decir,adoptar,que,3
responder,tratar,mientras,3
decidir,considerar,porque,6
impedir,entrar,que,3
explicar,provocar,que,2
desvelar,haber,que,2
ser,decantar,ya_que,7
recurrir,seguir,si,6
pedir,abordar,que,3
señalar,mostrar,que,7
subrayar,permitir,que,2
subrayar,ser,que,2
favorecer,converger,que,3
considerar,ser,que,2
lamentar,ser,que,2
destacar,perder,que,2
precisar,revelar,que,2
decir,pretender,que,7
indicar,pretender,que,7
pretender,proponer,mientras_que,3
proponer,pasar,que,7
añadir,preferir,que,2
añadir,pasar,que,3
prever,adquirir,que,3
agregar,ocupar,que,3
obtener,aumentar,mientras_que,3
pedir,profundizar,que,3
pedir,ahondar,que,3
admitir,ser,que,7
considerar,llegar,que,3
opinar,parasitar,que,7
evitar,liberar,que,3
explicar,ser,que,2
evitar,liberar,que,3
opinar,ser,que,7
ser,convertir,ya_que,7
insistir,gastar,0,7
insistir,gastar,0,7
recordar,estar,que,2
pedir,realizar,que,3
asegurar,suspender,que,2
juzgar,estar,que,2
tener,bajar,mientras_que,3
firmar,representar,0,7
firmar,significar,0,7
significar,crecer,que,2
realizar,ser,0,7
decir,insistir,que,7
pedir,profundizar,que,3
pedir,ahondar,que,3
señalar,ser,que,7
lamentar,ser,que,2
señalar,estar,que,7
estar,estar,porque,6
estar,reducir,aunque,6
decir,ser,que,7
decir,agregar,aunque,6
agregar,gustar,que,3
agregar,ser,que,2
agregar,estar,que,2
reforzar,mantener,aunque,6
atreverse,traspasar,mientras,3
creer,pasar,que,2
creer,continuar,que,2
producir,trabajar,cuando,6
producir,precipitar,0,6
explicar,emplear,que,2
considerar,deber,que,2
ser,bajar,pues,7
permitir,conseguir,pues,7
decir,recibir,que,7
revelar,comunicar,porque,6
decir,comprometer,que,7
comprometer,hacer,para_que,3
indicar,estar,que,7
indicar,analizar,que,2
decir,permitir,que,7
dar,entrar,que,3
esperar,entregar,que,2
lograr,renovar,aunque,6
renovar,atacar,mientras_que,3
pedir,someter,que,3
esperar,actuar,que,3
someter,ser,si,6
agregar,poner,que,3
poner,demorar,mientras,3
decir,votar,que,7
temer,significar,que,3
indicar,crecer,que,7
indicar,deportar,que,7
precisar,realizar,que,2
añadir,entender,que,2
entender,ser,que,2
recordar,establecer,que,2
señalar,tener,que,7
rechazar,pedir,ya_que,7
manifestar,ser,que,7
manifestar,corear,mientras_que,3
manifestar,denunciar,como,2
señalar,querer,que,7
tener,decir,si,6
tener,decir,0,7
tener,ser,0,7
tener,competir,0,7
decir,tener,que,7
anunciar,permitir,que,3
permitir,ejercer,que,3
asegurar,permitir,que,2
asegurar,sacar,0,7
asegurar,enfrentar,que,3
entender,ser,que,2
decir,servir,que,7
servir,aprender,porque,6
servir,funcionar,que,2
servir,abrir,porque,6
decir,hablar,que,7
afirmar,retirar,que,7
retirar,continuar,porque,6
agregar,trabajar,que,2
confesar,atender,que,7
decir,tener,que,7
añadir,ser,que,2
decir,unir,que,7
agregar,estar,que,2
estar,entrar,porque,6
anunciar,aprobar,que,2
esperar,renovar,aunque,6
renovar,atacar,mientras_que,3
añadir,servir,0,7
añadir,impulsar,0,7
añadir,fortalecer,0,7
agregar,condenar,que,2
declarar,reconocer,que,7
anunciar,dimitir,que,3
recibir,ocupar,mientras,3
opinar,ser,que,7
ser,ocurrir,como,2
temer,parecer,aunque,6
ser,ocupar,mientras_que,3
intentar,nacer,ya_que,7
intentar,criar,0,7
ser,ser,cuando,6
querer,escribir,que,2
morir,tener,cuando,6
contar,visitar,que,2
murmurar,tener,porque,6
ser,rebajar,0,7
ser,acertar,0,7
acertar,dominar,pues,7
bajar,dar,como,2
bajar,poner,0,7
bajar,entrar,0,7
hacer,ser,que,3
ser,estar,porque,6
decir,doler,que,7
hacer,descubrir,que,3
seguir,sobreandar,mientras,3
hablar,ver,cuando,6
hablar,oír,0,6
armar,venir,porque,6
decir,pasar,que,7
mantener,lograr,como,2
creer,recibir,que,2
decir,vivir,que,7
suponer,estar,que,3
preguntar,impresionar,si,6
ofrecer,ocurrir,como,2
ocurrir,convertir,que,2
ocurrir,quitar,si,6
ocurrir,quedar,como,2
representar,cobrar,0,7
representar,ser,0,6
representar,ser,0,7
representar,pagar,0,7
representar,carecer,0,6
representar,estar,0,7
carecer,estar,pues,7
ordenar,plantar,que,3
dar_cuenta,hacer_falta,que,7
hacer_falta,aceptar,pues,7
cambiar,desprestigiar,0,7
cambiar,convertir,0,7
decir,ser,que,7
decir,hacer,que,2
reventar,escribir,cuando,6
ser,querer,0,7
ser,quedar,0,7
creer,ser,que,2
acompañar,vivir,0,7
acompañar,conseguir,0,7
imaginar,caminar,0,7
imaginar,caminar,0,7
imaginar,resultar,0,7
avanzar,rajar,porque,6
dar,lograr,porque,6
lograr,permitir,aunque,6
admitir,haber,que,7
ser,saber,porque,6
asegurar,ser,que,2
creer,formar_parte,que,2
ser,olvidar,cuando,6
olvidar,olvidar,como,2
demostrar,existir,que,2
decidir,hacer,como,2
arrastrar,reponer,porque,6
despachar,ser,como,2
ser,valer,como,2
ser,leer,pues,7
ser,quedar,0,3
ser,haber,pues,7
decir,perder,que,7
decir,ser,que,7
decir,ser,que,7
explicar,requerir,0,7
explicar,ser,0,7
anunciar,ser,que,2
decir,contestar,que,7
contestar,preguntar,cuando,6
buscar,viajar,cuando,6
buscar,necesitar,0,6
replicar,insistir,cuando,6
replicar,ser,que,2
replicar,decir,0,6
decir,querer,que,7
aprovechar,ser,que,2
ser,recordar,como,2
deducir,ser,que,2
ser,llevar,porque,6
saber,ser,que,2
saber,ser,que,2
explicar,cortar,que,2
decidir,ser,que,2
morir,concentrar,cuando,6
decidir,descubrir,cuando,6
preguntar,saber,si,6
saber,ir,que,2
decir,ser,que,7
hacer,ser,que,3
añadir,demostrar,que,2
demostrar,ser,que,2
ser,quemar,cuando,6
pasar,ser,si,6
ser,ser,si,6
haber,ser,si,6
proponer,tirar,que,7
evitar,diezmar,que,2
tranquilizar,leer,0,7
tranquilizar,pensar,0,7
tranquilizar,creer,0,7
creer,ser,como,2
creer,decidir,que,3
creer,olvidar,0,7
hacer,dar,0,7
echar,salir,cuando,6
sembrar,haber,si,6
pensar,explicar,que,3
explicar,salir,si,6
decir,ser,que,7
creer,ser,que,2
colgar,llegar,cuando,6
heredar,frecuentar,puesto_que,7
contar,insultar,que,2
crecer,nacer,si,6
crecer,ser,cuando,6
crecer,jugar,0,6
hacer,descifrar,mientras,3
descubrir,destapar,cuando,6
descubrir,ser,que,2
descubrir,haber,que,2
significar,llegar,que,2
decir,homologar,0,7
decir,presentar,0,7
pedir,deshacer,que,3
decidir,ser,0,7
decidir,ser,0,7
levantar,alzar,cuando,6
ver,presidir,mientras,3
repasar,sollozar,mientras,3
rogar,tomar,que,3
ofrecer,llevar,si,6
pedir,decir,que,3
llegar,correr,porque,6
ser,andar,cuando,6
suponer,leer,que,2
suponer,ser,que,2
ayudar,parecer,aunque,6
creer,dar,que,2
bastar,permitir,para_que,3
descubrir,decir,si,6
decir,vivir,que,7
ser,ser,si,6
rifar,ser,porque,6
rifar,tener,0,6
ser,tener,si,6
ser,dar,porque,6
mirar,dar_cuenta,que,2
ser,conseguir,pues,7
tener_que_ver,ser,como,3
decir,andar,como,2
decir,preguntar,cuando,6
preguntar,hacer,como,2
reconocer,ser,que,2
ser,dejar,si,6
procurar,ser,si,6
procurar,ver,que,3
procurar,ser,0,6
creer,quedar,que,2
parecer,parecer,0,7
parecer,portar,como,2
decir,querer,si,6
decir,multar,que,7
decir,multar,que,3
decir,multar,que,7
multar,ser,si,6
pedir,financiar,que,3
rezar,dar,ya_que,7
rezar,tocar,para_que,3
rezar,ver,0,7
querer_decir,comprender,que,7
esperar,salir,que,3
retirar,desautorizar,si,6
decir,tener,que,7
decir,ser,que,2
pestañear,estar,como,2
necesitar,pestañear,que,3
ser,hacer_falta,0,7
saber,ser,que,2
comunicar,estar,que,2
estar,andar,como,2
reconocer,tener,que,2
querer,aprobar,que,2
aprobar,saber,como,2
aprobar,registrar,para_que,3
registrar,persistir,aunque,6
ser,mejorar,que,2
decir,ser,que,7
creer,ver,como,2
creer,haber,que,2
afirmar,decir,si,6
suponer,acertar,que,2
querer,volver,que,3
querer,sustituir,que,3
decir,ser,que,7
decir,ser,que,7
pensar,ser,que,2
encontrar,quedar,porque,6
ver,tener,que,2
ver,hallar,que,2
ser,tocar,aunque,6
ocurrir,lanzar,cuando,6
ocurrir,seducir,0,6
ocurrir,calificar,0,6
gustar,sacrificar,porque,6
hundir,flotar,que,2
descubrir,estar,que,2
ser,descansar,que,3
secuestrar,ver,porque,6
robar,ver,porque,6
torturar,ver,porque,6
asesinar,ver,porque,6
prostituir,ver,porque,6
hacer,ver,porque,6
arruinar,ver,porque,6
seguir,arrojar,si,6
dar,ver,cuando,6
ver,invocar,que,2
ser,copiar,que,2
pasar,desaparecer,0,7
pasar,acabar,0,7
florecer,querer,como,3
ahondar,escribir,según,7
acabar,acabar,0,7
saber,tener,que,2
saber,estar,que,2
saber,comprar,que,2
saber,ir,que,2
saber,estar,que,2
saber,merecer,que,2
saber,discutir,que,2
saber,matar,mientras,3
saber,rozar,que,2
saber,saber,0,7
saber,herir,que,2
ser,morir,que,3
saber,morir,que,3
pasar,poner,si,6
saber,congelar,que,3
ser,ocurrir,0,7
hacer,añorar,porque,6
saber,ser,que,2
añorar,gobernar,cuando,6
ser,creer,si,6
ser,querer,que,2
ser,resistir,mientras,3
sustituir,estar,porque,6
sustituir,ver,0,6
sustituir,estar,0,6
decir,referir,0,6
ser,aumentar,cuando,6
ser,favorecer,cuando,6
decir,cometer,que,7
decir,afear,que,2
hacer,defender,que,2
provocar,necesitar,ya_que,7
provocar,ser,0,7
decir,usar,que,7
ser,haber,porque,6
tratar,ser,aunque,6
señalar,señalar,mientras_que,3
dominar,caracolear,0,6
dominar,llevar,0,6
salir,ser,0,6
unir,suceder,como,2
costar,progresar,0,7
costar,ver,que,2
costar,seguir,0,7
ser,ser,0,7
ser,resolver,0,7
inmutar,traer,0,7
inmutar,jugar,0,7
jugar,llegar,0,7
jugar,perder,0,7
ver,condenar,aunque,6
desear,perdurar,que,3
servir,meter,si,6
cambiar,cambiar,cuando,6
cambiar,cambiar,cuando,6
cambiar,pasar,cuando,6
conseguir,mirar,que,3
conseguir,encestar,que,3
conseguir,crear,que,3
temer,ser,que,2
valer,zurrar,si,6
creer,ver,aunque,6
reunir,ser,aunque,6
reunir,ser,0,6
coexistir,coexistir,como,2
ganar,ser,aunque,6
ganar,haber,porque,6
ver,ser,que,2
haber,dominar,que,3
ser,seguir,como,2
quedar,asomar,cuando,6
decir,meter,que,7
ver,ser,0,7
ver,querer,0,7
encajar,mostrar,si,6
admitir,haber,si,6
decir,haber,que,7
haber,ser,porque,6
ser,haber,cuando,6
querer,llegar,que,3
querer,requerir,porque,6
rechazar,ser,porque,6
criticar,ser,porque,6
ayudar,hacer,si,6
ser,ver,como,2
ver,correr,que,2
ver,tener,que,2
volver,acabar,cuando,6
saber,acudir,que,3
saber,tener,que,2
caer,dimitir,cuando,6
apresurar,topar,cuando,6
ser,descollar,si,6
saber,exigir,que,2
ser,saber,como,2
decir,ser,que,7
dar,merecer,como,2
merecer,regresar,cuando,6
apostar,agotar,puesto_que,7
quitar,sentir,cuando,6
comprender,tratar,que,2
pedir,comentar,cuando,6
comentar,cambiar,cuando,6
disparar,hacer,mientras_que,3
precisar,ganar,que,3
precisar,considerar,porque,2
ser,acompañar,si,6
poseer,referir,mientras_que,3
aguantar,refrenar,mientras,3
proponer,alcanzar,0,7
resultar,querer,porque,6
saber,estar,que,2
saber,ser,que,2
mandar,atacar,que,3
pasar,divulgar,cuando,6
ser,ir,que,3
retrasar,tener,cuando,6
retrasar,anunciar,0,6
hacer,hablar,si,6
saber,quedar,que,2
entender,estar,0,7
quedar,ocurrir,si,6
llevar,ir,cuando,6
preguntar,estar,0,7
preguntar,ser,0,7
atacar,bajar,cuando,6
quedar,ser,cuando,6
ser,ver,aunque,6
dar,alcanzar,cuando,6
desmoralizar,caber,si,6
dudar,ser,si,6
dudar,tratar,si,6
tener_en_cuenta,ir,que,2
vencer,desaparecer,0,6
vencer,quedar,0,6
desarrollar,obtener,0,7
ser,ser,aunque,6
exigir,marchar,que,3
tener,emplear,0,7
tener,devorar,0,7
anunciar,doblar,que,2
comprar,ganar,si,6
informar,superar,que,2
dar,ser,aunque,6
tener_en_cuenta,ser,que,2
pensar,incluir,que,2
ser,aparecer,0,7
ser,manifestar,0,7
advertir,ser,que,7
ser,componer,que,2
venir,estar,0,6
venir,encontrar,0,6
resultar,introducir,aun_cuando,7
desencadenar,ser,porque,6
asegurar,aprovechar,que,2
pescar,demostrar,como,2
hacer,centrar,que,3
asegurar,esconder,que,2
reinar,intentar,aunque,6
ser,encontrar,si,6
ser,arrojar,0,7
explicar,ser,que,2
contar,resolver,que,2
facilitar,restablecer,que,3
tener,recaer,ya_que,7
estar,prestar,si,6
ser,mantener,0,3
mantener,hacer,aunque,6
hacer,saltar,aunque,6
decir,quedar,que,7
quedar,ser,porque,6
quedar,haber,si,6
tener,ser,cuando,6
perseguir,ser,como,2
referir,solicitar,cuando,6
reforzar,activar,si,6
disparar,hacer,cuando,6
mezclar,aparear,cuando,6
tener,traspasar,aunque,6
producir,absorber,cuando,2
manifestar,manifestar,mientras_que,3
mantener,tener,aunque,6
constatar,evitar,que,2
evitar,llegar,que,3
asegurar,pasar,0,7
asegurar,llegar,0,7
pensar,equivocar,que,2
lanzar,hacer,ya_que,7
